Mine/Prospect,Project Name,Mining Method,Co-Producing Materials,Existing Mine,Status of Project,Regulatory Challenges ,County,Nearest Population Center,Population Size,Additional Location Information,Mining District,Mineral Occurrence,Lead Developer,Location of Lead Developer HQ,Lead Developer Website,Parent Company,Location of Parent Company HQ,Was There Change in Ownership during Project?,Planned Production Capacity (Thousands of Tons/Year),"Planned Lifespan of Mine 
(Years)",Processing Plan in US,Processing Done by the Same Lead Developer/Parent Company,"Total Capital Costs
 (Millions of Dollars)",Number of Federal Awards,Financial Support by Federal Agency,Year Granted,Grant/Loan,"Amount 
(Millions of Dollars)",Purpose of Support,Public Supply Agreement w/ an Automaker or Battery/Component Producer,Type of Land,Public Land Ownership,Year of Land Acquisition,Evidence of Litigation,Number of Cases,State and/or Federal,Court Rulings Issued,Level of Court,Link to Judicial Decision
American Pacific Palmer,,,,,"Over $100 million has been invested in mineral exploration, geotechnical, and environmental studies at Palmer.  The focus of the current drilling programs (2022 – 2024) has been limited to the Palmer Deposit SW and RW Zones, which form the major portion of the current known mineralization at the Project.  The mineral estimates were updated in January 2025. ",,Mantanuska - Susnita Borough (Alaska does not have counties).,,,"The Property is located 37 miles northwest from Haines, southeast Alaska, in the Alaska panhandle. The western boundary of Palmer is coincident with the British Columbia Province of Canada and the international border. The Property lies 1-2 miles from the Haines Highway, which links the project to the deep-sea port of Haines. The Palmer project would sit in the watershed of the Chilkat River,  The Palmer Project is a copper, zinc, gold, silver and barite deposit that sits above Glacier Creek, which is a tributary to the Klehini and Chilkat rivers. The Tlingit village of Klukwan sits about 15 miles downstream from the mine at the confluence of the Chilkat and Klehini rivers.                                                                                                                                                                               ",,,,,,,,"In a deal announced in 2024,  Dowa Metals and Mining, a Japanese company, will give up its roughly 70% interest in the Palmer Project. Taking over is American Pacific Mining Corp., a small Canadian company (junior miner). It’s set to take full ownership of the project, up from its current 30% minority stake.",,,,,,,,,,,,,,,,,,,,,
Angel Island,"Name of Project was changed from Clayton Valley Project to Angel Island Mine to distinguish from other Clayton Valley developments
","Will extract lithium from sedimentary clay, similar to Thacker Pass and Rhyolite Ridge; will use hydrochloric acid instead of sulphuric acid as the solvent.",,,"Since the completion of a Feasibility Study of Angel Island in April 2024, the developer’s attention has been on process optimization to drive reductions in the Project’s estimated capital and operating costs, environmental studies and permitting, and Project funding. ",Conflict over water rights in the water-stressed area.  ,,,," Located in west-central Nevada (219 miles southeast of Reno and 206 miles northwest of Las Vegas), immediately east of Albemarle’s active Silver Peak lithium mine. The town of Silver Peak is 6 miles west, Goldfield is 24 miles east, Tonopah is 41 miles northeast.",,, Name of developer was changed from Cypress Development Corporation to Century Lithium Corporation in 2023.,,,,,,,,,"Yes, at a facility 125 miles south.  Metallurgical testing on Project material indicates low-cost processing can be achieved with conventional tank leaching and counter current decantation, resulting in low acid consumption and high lithium recovery of over 85% of total lithium. Lithium extraction facility at del Sol Refining in Amargosa Valley, Nevada. The operation of the Pilot Plant provided essential data for the Feasibility Study; Employs a hydrochloric acid leaching process combined with Onyx's 2021-acquired ion exchange DLP technology and Saltworks Technologies' refining process to produce high-purity 99.94% LCE, exceeding battery-grade standards.",,,,,,,,,,"5,845 acres of BLM.",,,,,,,
Arctic,"
 
"," An open pit mine that will include infrastructure such as a tailings management facility, a waste rock facility, a tailings dam, a waste rock collection pond, multiple water treatment plants, a mill facility, a crusher facility, an ore stockpile building, and a concentrate  facility. ",,"No previous mining but exploratory drilling at the Arctic deposit and within the Ambler Mining District has been ongoing since its discovery in 1966. Approximately 67,639 meters of drilling was completed within the Ambler Mining District, including 55,038 meters of drilling in 285 drill holes at the Arctic deposit or on potential extensions. Drill programs were completed by Kennecott and its subsidiaries, Anaconda, NovaGold, Trilogy and Ambler Metals. ","The public debate has focused on the proposed Ambler Road that is designed to connect the mine to the Dalton Highway. The mining project itself may also be controversial. The 211-mile-long Ambler Road was initially approved under the Trump administration, which issued, through the Army Corps of Engineers and BLM, a 50-year right-of-way permit to build the road just before President Donald Trump left office.  Under the Biden administration, the federal government revised the Trump-era environmental impact assessment, found unacceptable environmental risks, and disallowed the permit. The decision against proceeding with the project was contained in a final supplemental environmental impact statement released by BLM.  In 2025 President Trump issued an executive order calling for the reinstatement of the permit for the Ambler Road. ",,Northwest Arctic Borough of Alaska,,,"Southern Brooks Range of arctic region of Alaska approximately 168 miles east of Kotzebue, 22 miles northeast of Kobuk, 162 miles west of the Dalton Highway; 292 miles northwest of Fairbanks. ",,,,,,"Joint Venture of South 32 Limited (AU) and Trilogy Metals Inc. (CA). NovaGold Resources Inc. acquired the Arctic Project from Kennecott in 2004. In 2011, NovaGold transferred all copper projects to NovaCopper Inc. and in 2012 spun-out NovaCopper to its then existing shareholders. NovaCopper Inc. subsequently underwent a name change to Trilogy Metals Inc. in 2016. The Project is directly held by Ambler Metals LLC in a 50/50 joint venture between South32 and Trilogy Metals (February 2020). Upon the formation of the joint venture, Trilogy Metals contributed all of its Alaskan assets, including the Project , to Ambler Metals in exchange for a 50% membership interest; at the same time, South32 contributed $145 million in cash for a 50% membership interest.",,,"The developer announced the results of an updated Arctic Feasibility Study (FS) on February 14, 2023.  ",,,"The conclusions of test work conducted both in 2012 and 2017 indicate that the Arctic materials are well-suited to the production of high-quality copper and zinc concentrates using flotation techniques, which are industry standard.  The process plant will produce three concentrates: copper concentrate, zinc concentrate, and lead concentrate. ",,,,,,,,,,"The project area consists of 18 federal patented mining claims, which cover an area of approximately 272 acres and 1,341 state mineral claims that cover an area of approximately 114,000 acres. In total, the Project area comprises approximately 114,498 acres of state and federal (BLM) mining claims. ",,"The Tanana Chiefs Conference, which represents 42 villages in interior Alaska, many of which are located near to the proposed Ambler Road, sued the Interior Department in 2020 over its handling of the environmental analysis, arguing that it did not adequately address impacts to their way of life.  This lawsuit was not resolved when the Biden administration took office, and the lawsuit was set aside while the administration revisited the environmental impact statement.",,,,,
Bagdad,,,,,"Mining on site since 1906; The Bagdad copper mine in Arizona (active) is in a feasibility analysis of a plan to double its concentrator capacity, but the urgency of the plan has been removed due to somewhat low copper prices.  The capital costs of the expansion cannot be justified at the current copper prices but higher copper prices would allow the expansion to move forward; The Bagdad mine is expected to be the first with a fully autonomous haulage system as a part of the process of converting its existing manned fleet to 100% autonomous operation.",,,,,"Located just west of the company town of Bagdad (pop 2,661, 2022), 100 miles northwest of Phoenix, Arizona, within the Upper Burro Creek Wilderness area.",,,,,,,,Site was purchased from Boston Consolidated Mining Company in 1989. ,Currently 25% of the current US demand.,,,,,,,,,,,,,,,,,,,,
BAMA,     ,,,,,,,,,"South of Sylacauga, Chilton County. Alabama, northwest of Montgomery, south of Birmingham, southwest of GOOSA Graphite Project.  The Bama Mine Project site is located less than 9 miles from I-65, and less than 1 mile from a major railroad.",,,,,,,,"In December 2017, Westwater Resources Inc acquired Alabama Graphite Corporation. Westwater also agreed to provide Alabama Graphite with a secured loan to remedy Alabama Graphite’s working capital deficit, to pay outstanding payables, and to fund its essential operations until the close of the Acquisition (April 2018).",,,,"Kellyton Graphite Processing Plant (nearby, under construction for $202 million) near Alexander City in Coosa County.  Plan: 7500 metric tons of refined graphite per year.",,,,,,,,,,,,,,,,,
BamaStar,"The BamaStar Project site was previously home to a mine known as the Ceylon Graphite Project, which operated during World War I and World War II.
                                                                                                                                                                                          ",,,,"Plan to be operational by 2027; In November 2024, the developer filed positive results and favorable economics in its Preliminary Economic Assessment; the assessment includes a graphite mine, a concentrate processing facility and a value-add plant for upgrading and transforming the graphite concentrates precursor. ",,,,,"East-central Alabama near Alexander City (pop 14,843, 2020), at the northeast end of the 60-mile Alabama Graphite Belt.  Located 8 miles northeast of Sylacauga (pop 12,578, 2020), 48 miles from Birmingham, and about 225 miles northeast of the major Gulf-of-Mexico port of Mobile, Alabama. ",,,,,,,,"Westwater is focused on battery-grade natural graphite after its acquisition of Alabama Graphite Corp. (AGC) in April 2018. AGC acquired the Project in 2012 based on the geological setting. On April 23, 2018, Westwater acquired a 100% interest in AGC as part of a strategic decision to refocus the Company to supply battery manufacturers with low-cost, high-quality, and high-margin natural graphite products.","The Coosa graphite concentrator facilities are designed to process 90,000 tonnes per year of flotation concentrate product grading 95% Cg.",,,,,,DOD: $3.2 million for feasibility study              ,,,,,,,,,,,,,,
Basin,,,,,"Exploration began in 2018, drilling continues in 2024, east and west basin areas. 8,800 feet of core drilling is planned. Next steps include continuing the environmental assessment process (leading to a PEA), and drilling 52 boreholes.",,,,," Located in west-central Arizona, around 6 miles from the operating Bagdad copper mine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Lodge ,"
",,,,The developer’s goal is to begin mine production in 2029.,"In January 2016 the developer, after almost a decade of work, suspended the NEPA process for the overall project at USFS in the face of concerted opposition from tribal and environmental groups. The developer will need to restart and complete this process to obtain a federal permit for mining. In November 2023 DOE completed the NEPA process to support its financial assistance of the separation and processing demonstration plant.",,,,"2 miles northwest of Sundance, northeast Wyoming, off I-90 in the Northern Black Hills, an isolated mountain range extending from western South Dakota into Wyoming.",,,,,,,,,,,"The developer has a well-developed processing plan at a facility in the nearby town of Upton, Wyoming. A pilot demonstration plant for the new separation and treatment technology will begin in 2025. The plant is partially subsidized by the US Department of Energy.",,,,"In 2024, the grant amount increased from 20 million to 24.2 million, specifically for the processing plant.",,,,,,"The project site is located on a mix of federal (USFS), state and private land; a total of approximately 8,000 acres.",,,,,,,,
Big Sandy ,"
",,,,"The developer experienced a setback in August 2024 when a federal judge ordered an injunction against exploratory drilling while the judge rules on the merits of a lawsuit by the Hualapai Tribe and the nonprofit environmental law organization Earthjustice. The lawsuit challenged BLM's approval of the exploratory drilling, arguing that the project threatens Ha'Kamwe', a medicinal spring recognized as a traditional cultural property. The tribes also argued that BLM failed to consider reasonable, lower-risk options such as approving only 1 or 2 of 3 proposed drill sites, requiring the sites to be located further from sensitive areas, and requiring stricter controls on noise, light, traffic and vibrations. The tribes were also concerned that exploratory drilling might affect aquifers including wildlife, flora, fauna, and gathering areas. On February 17, 2025 the developer announced indefinite delay, cutting the need for more stakeholder input; will give higher priority to a project in Canada.","Unpatented mining claims on the site of the project led to a dispute with another developer that took two years to be fully resolved; the developer was delayed in obtaining a third exploratory permit from BLM due to intense opposition from nearby tribes and others.   The request for the third exploratory program was filed on March 12, 2021.  The public comment period began in April 2021 and was extended twice.  The developer ultimately agreed to several changes to the exploration plan to secure BLM approval in June 2024. The first and second exploratory activities were in 2019, 16 holes covering 1.57 acres and then 37 holes covering 4.98 acres.  The third permit allows 131 holes covering 21 acres over an 18-month period. In late 2024, a federal court issued an injunction against BLM’s approval of exploration (third phase) on the grounds of inadequate consultation with tribal groups and threat to a historical and spiritual site.",,,,"Northern Arizona on Interstate 93 (I-93) near small town of Wikieup, about halfway between Phoenix and Las Vegas.",,,partnered with Navajo Transitional Energy Company- handling operations and permitting process,,,,,,,,Preliminary tests with contractors Hazen Research & KCA to determine feasibility. Using sulphuric acid to extract Li,,,,,,,,,,,,,"In August of 2024, a federal judge overturned the third exploratory drilling plan that was approved by the BLM earlier in June, even though plan was changed extensively to accommodate some tribal concerns. Litigants included EarthJustice and a local tribe. In November of 2024, the US District Court For the District of Arizona ordered that Arizona Lithium cannot continue any work that was previously authorized by BLM’s June 6th or 9th decision letters. The Hualapai Tribe’s request to extend the temporary restraining order into a preliminary injunction was also granted.",,,,,
Bingham Canyon (Kennecott),,,,"One of the largest open-pit copper mines in the world; it began operations in 1906. Since acquiring the Kennecott operations in 1989, Rio Tinto has invested more than $5 billion towards modernisation, environmental upgrades and mine-life extension.","Rio Tinto is expanding the underground portion of the mine with a $920 million investment. Copper production from the underground north rim skarn began in 2024; operations are planned to deliver around 250,000 tons of mined copper over the next 10 years, roughly 25% of US copper consumption.",,,,,"Located near town of Herriman (55,144, 2020), Salt Lake County, Utah. Eastern portion of the Oquirrh Mountains, approximately 16 miles south-west of the Salt Lake City, Utah, US.",,,The company was first formed in 1898 as the Boston Consolidated Mining Company. The current corporation was formed in 1989.,,,,,Rio Tinto acquired the Kennecott operations in 1989.,,,,"Virtually all processing is performed on site. Crushed ore is transported on a 5-mile conveyor and stockpiled at the Concentrator, where it is ground into fine particles. After treatment with air, water, and chemical reagents, the concentrate is transported to a smelter via pipeline.",,,,,,,,,,,,,,,,,
