
Mine/Prospect,Notes 
American Pacific Palmer,"Location: County: Mantanuska - Susnita Borough                                                                                                                                                                                                                    Location: Additional Location Information: The Property is located 60 kilometers (km) northwest from Haines, Alaska, in the Alaska panhandle.
The Property lies 2 km from the Haines Highway, which links the deep-sea port of Haines, Alaska. The Palmer project would sit in the watershed of the Chilkat River,  The Palmer Project is a copper, zinc, gold, silver and barite deposit that sits above Glacier Creek, about 35 miles north of Haines. Glacier Creek is a tributary to the Klehini and Chilkat rivers. The Tlingit village of Klukwan sits about 15 miles downstream from the mine at the confluence of the Chilkat and Klehini rivers.                                                                             Project Description: Change in Ownership: In a deal announced in 2024,  Dowa Metals and Mining, a Japanese company, will give up its roughly 70% interest in the Palmer Project near the Southeast Alaska communities of Haines and Klukwan. Taking over is American Pacific Mining Corp., a Canadian company that owns no operating mines and instead focuses on exploring deposits that could become mines later on. It’s set to take full ownership of the project by the end of the year, up from its current 30% minority stake"
Angel Island,"Project Name: Name of Project was changed from Clayton Valley Project to Angel Island Mine to distinguish from other Clayton Valley developments.
Location: Additional Location Information:  Located in west-central Nevada (219 miles southeast of Reno and 206 miles northwest of Las Vegas), immediately east of Albemarle’s active Silver Peak lithium mine. The town of Silver Peak is 6 miles west, Goldfield is 24 miles east, Tonopah is 41 miles northeast.
Project Description: Mining Method: Will extract lithium from sedimentary clay, similar to Thacker Pass and Rhyolite Ridge; will use hydrochloric acid instead of sulphuric acid as the solvent.
Project Description: Status of Project:  Since the completion of a Feasibility Study of Angel Island in April 2024, the developer’s attention has been on process optimization to drive reductions in the Project’s estimated capital and operating costs, environmental studies and permitting, and Project funding. 
Project Description: Regulatory Challenges: Conflict over water rights in the water-stressed area.  
Developer Description: Lead Developer: Name of developer was changed from Cypress Development Corporation to Century Lithium Corporation in 2023.
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company:  Yes, at a facility 125 miles south.  Metallurgical testing on Project material indicates low-cost processing can be achieved with conventional tank leaching and counter current decantation, resulting in low acid consumption and high lithium recovery of over 85% of total lithium. Lithium extraction facility at del Sol Refining in Amargosa Valley, Nevada. The operation of the Pilot Plant is providing essential data for the ongoing Feasibility Study; Employs a hydrochloric acid leaching process combined with Onyx's 2021-acquired ion exchange DLP technology and Saltworks Technologies' refining process to produce high-purity 99.94% LCE, exceeding battery-grade standards.
Land Ownership: Type of Land: 5,845 acres of BLM."
Arctic,"Location: County: Northwest Arctic Borough of Alaska
Location: Additional Location Information:  Southern Brooks Range of arctic region of Alaska approximately 168 miles east of Kotzebue, 22 miles northeast of Kobuk, 162 miles west of the Dalton Highway; 292 miles northwest of Fairbanks. 
Project Description: Mining Method: An open pit mine that will include infrastructure such as a tailings management facility, a waste rock facility, a tailings dam, a waste rock collection pond, multiple water treatment plants, a mill facility, a crusher facility, an ore stockpile building, and a concentrate  facility. 
Project Description: Existing Mine: No previous mining but exploratory drilling at the Arctic deposit and within the Ambler Mining District has been ongoing since its discovery in 1966. Approximately 67,639 meters of drilling was completed within the Ambler Mining District, including 55,038 meters of drilling in 285 drill holes at the Arctic deposit or on potential extensions. Drill programs were completed by Kennecott and its subsidiaries, Anaconda, NovaGold, Trilogy and Ambler Metals. 
Project Description: Status of Project: The public debate has focused on the proposed Ambler Road that is designed to connect the mine to the Dalton Highway. The mining project itself may also be controversial. The 211-mile-long Ambler Road was initially approved under the Trump administration, which issued, through the Army Corps of Engineers and BLM, a 50-year right-of-way permit to build the road just before President Donald Trump left office.  Under the Biden administration, the federal government revised the Trump-era environmental impact assessment, found unacceptable environmental risks, and disallowed the permit. The decision against proceeding with the project was contained in a final supplemental environmental impact statement released by BLM.
Developer Description: Parent Company: Joint Venture of South 32 Limited (AU) and Trilogy Metals Inc. (CA). NovaGold Resources Inc. acquired the Arctic Project from Kennecott in 2004. In 2011, NovaGold transferred all copper projects to NovaCopper Inc. and in 2012 spun-out NovaCopper to its then existing shareholders. NovaCopper Inc. subsequently underwent a name change to Trilogy Metals Inc. in 2016. The Project is directly held by Ambler Metals LLC in a 50/50 joint venture between South32 and Trilogy Metals (February 2020). Upon the formation of the joint venture, Trilogy Metals contributed all of its Alaskan assets, including the Project , to Ambler Metals in exchange for a 50% membership interest; at the same time, South32 contributed $145 million in cash for a 50% membership interest.
Commerical Plans: Planned Production Capacity: The developer announced the results of an updated Arctic Feasibility Study (FS) on February 14, 2023.  
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: The conclusions of test work conducted both in 2012 and 2017 indicate that the Arctic materials are well-suited to the production of high-quality copper and zinc concentrates using flotation techniques, which are industry standard.  The process plant will produce three concentrates: copper concentrate, zinc concentrate, and lead concentrate. 
Land Ownership: Type of Land: The project area consists of 18 federal patented mining claims, which cover an area of approximately 272 acres and 1,341 state mineral claims that cover an area of approximately 114,000 acres. In total, the Project area comprises approximately 114,498 acres of state and federal (BLM) mining claims. 
Statements of Support from Public Officials: State: In a December 2023 letter, the Alaska congressional delegation, led by senior US Senator Lisa Murkowski, criticized the Biden administration for delaying the Ambler Road environmental analysis and urged it to advance the project; GOP Gov. Mike Dunleavy of Alaska also advocates for the development of the Ambler Road.
Statements of Support from Public Officials: Federal: Rep. Mary Peltola, a Democrat and Alaska’s only member of the House of Representatives, did not entirely oppose the Biden administration’s decision but called for new dialogue that would find an acceptable path forward for the private road.  
Statements of Concern from Public Officials: Federal:  In a 2024 effort to force the BLM to approve the Ambler Road, it was included in an initial draft of a must-pass defense appropriations bill.  Senate Democrats removed the provision due to strong concerns registered by opponents of the road.
Litigation: Evidence of Litigation: The Tanana Chiefs Conference, which represents 42 villages in interior Alaska, many of which are located near to the proposed Ambler Road, sued the Interior Department in 2020 over its handling of the environmental analysis, arguing that it did not adequately address impacts to their way of life.  This lawsuit was not resolved when the Biden administration took office, and the lawsuit was set aside while the administration revisited the environmental impact statement.
Concerned Interest Groups: Indigenous Groups: A majority of Tribes in Alaska including the United Tribes of Bristol Bay
Concerned Interest Groups: Scale of Environmental Groups: Local -- Audubon Society Alaska;  National -- Center for Biological Diversity
Concerned Interest Groups: Recreational Groups: Backcountry Hunters and Anglers (BHA).  BHA is part of a coalition of conservation organizations, Alaska-based outfitters, and national hunting and fishing companies that have publicly opposed the Ambler Road since the fall of 2023. That group, known as Hunters & Anglers for the Brooks Range, also lists Trout Unlimited and the National Deer Association as coalition partners. Arctic Fishing Adventures in Kotzebue, Alaska, who guides out-of-state anglers looking to catch tarpon-like sheefish through the ice in the Brooks Range, also opposed the Road.
Reasons for Concern: Impacts to Natural Environment: The Ambler Road would cross 26 miles of Gates of the Arctic National Park and Preserve. 
Reasons for Concern: Traffic & Noise: As many as 168 truck trips per day
Reasons for Concern: Water Quality: The Ambler Road would cross hundreds of rivers and streams and could lead to pollution of some Alaska’s most important salmon and sheefish spawning streams
Reasons for Concern: Subsistence Hunting/Fishing: More than 30 tribal communities might face restrictions on subsistence hunting and fishing if the Ambler Road were built — a key factor in the Biden administration’s reasoning; The Road could also hurt caribou migration patterns even though hunting caribou is central to the subsistence lifestyle of nearby native Alaskan villagers
Supportive Interest Groups: Commercial Groups: The Alaska Native corporation in the region, known as NANA Corp, also owns some of the subsurface rights in the mining district and has a longstanding partnership with Ambler Metals to develop the deposit. It once supported the Ambler Road. But it withdrew its support in March 2024.  NANA is owned by the Iñupiat people of Northwest Alaska. Without support from NANA, the state will need to bend the road to the north to avoid some land owned by NANA.  
Reasons for Support: Economic Growth: The Alaska Industrial Development and Export Authority Board, the state’s development bank, initially filed for federal permits to build the Ambler Road in 2015 and approved about $44.8 million toward the project. It argued the mining district is estimated to create more than 3,900 direct and indirect jobs, and more than $300 million in annual wages, adding new revenues to state and local coffers.
Reasons for Support: Community Development: The populations of nearby villages are 151 in Kobuk (2020 Census), 210 in Shungnak (2020 Census), and 275 in Ambler (2020 Census). Residents largely live a subsistence lifestyle with incomes supplemented by tour guiding, local development projects, employment through tribal and city councils, government aid, and employment both in and outside of their home villages. The Arctic Project has the potential to significantly improve work opportunities for residents during the exploration phase, construction, and during full operation. The Tanana Chiefs Conference, which represents 42 villages in interior Alaska, many of which are near the proposed Ambler Road, sued the Interior Department in 2020 over its handling of the environmental analysis, arguing that it did not adequately address impacts to their way of life. After the lawsuit was filed, though, three of the villages switched sides and said they support the Road because of its economic benefits to the villages and the State."
Bagdad,"Location: Additional Location Information:  Located just west of the company town of Bagdad (pop 2,661, 2022), 100 miles northwest of Phoenix, Arizona, within the Upper Burro Creek Wilderness area.
Project Description: Status of Project: Mining on site since 1906; The Bagdad copper mine in Arizona (active) is in a feasibility analysis of a plan to double its concentrator capacity, but the urgency of the plan has been removed due to somewhat low copper prices.  The capital costs of the expansion cannot be justified at the current copper prices but higher copper prices would allow the expansion to move forward; The Bagdad mine is expected to be the first with a fully autonomous haulage system as a part of the process of converting its existing manned fleet to 100% autonomous operation.
Developer Description: Was There Change in Ownership during Project?:Purchased from Boston Consolidated Mining Company in 1989. 
Commercial Plans: Planned Production Capacity: currently 25% of US demand."
BAMA,
BamaStar,"Project Name: The BamaStar Project site was previously home to a mine known as the Ceylon Graphite Project, which operated during World War I and World War II.
Location: Additional Location Information:  East-central Alabama near Alexander City (pop 14,843, 2020), at the northeast end of the 60-mile Alabama Graphite Belt.  Located 8 miles northeast of Sylacauga (pop 12,578, 2020), 48 miles from Birmingham, and about 225 miles northeast of the major Gulf-of-Mexico port of Mobile, Alabama. 
Project Description: Status of Project: Plan to be operational by 2027; In November 2024, the developer filed positive results and favorable economics in its Preliminary Economic Assessment; the assessment includes a graphite mine, a concentrate processing facility and a value-add plant for upgrading and transforming the graphite concentrates precursor. 
Developer Description: Was There Change in Ownership during Project?:  Westwater is focused on battery-grade natural graphite after its acquisition of Alabama Graphite Corp. (AGC) in April 2018. AGC acquired the Project in 2012 based on the geological setting. On April 23, 2018, Westwater acquired a 100% interest in AGC as part of a strategic decision to refocus the Company to supply battery manufacturers with low-cost, high-quality, and high-margin natural graphite products.
Commercial Plans: Planned Production Capacity: The Coosa graphite concentrator facilities are designed to process 90,000 tonnes per year of flotation concentrate product grading 95% Cg.
Financial Support: Federal Agency: DOD: $3.2 million for feasibility study                                                                                                                                                                                               
Statements of Support from Public Officials: State: Governor of Alabama supports.
Statements of Support from Public Officials: Federal: Biden Administration."
Basin,"Location: Additional Location Information: Located in west-central Arizona, around 6 miles from the operating Bagdad copper mine.
Project Description: Status of Project: Exploration began in 2018, drilling continues in 2024, east and west basin areas. 8,800 feet of core drilling is planned. Next steps include continuing the environmental assessment process (leading to a PEA), and drilling 52 boreholes."
Bear Lodge ,"Location: Additional Location Information:  2 miles northwest of Sundance, northeast Wyoming, off I-90 in the Northern Black Hills, an isolated mountain range extending from western South Dakota into Wyoming.
Project Description: Status of Project: Development. The developer’s goal is to begin mine production in 2029.
Project Description: Regulatory Challenges: In January 2016 the developer, after almost a decade of work, suspended the NEPA process for the overall project at USFS in the face of concerted opposition from tribal and environmental groups. The developer will need to restart and complete this process to obtain a federal permit for mining. In November 2023 DOE completed the NEPA process to support its financial assistance of the separation and processing demonstration plant.
Commercial Plans: Processing Plan in US: The developer has a well-developed processing plan at a facility in the nearby town of Upton, Wyoming. A pilot demonstration plant for the new separation and treatment technology will begin in 2025. The plant is partially subsidized by the US Department of Energy.
Financial Support: Federal Agency: In 2024, the grant amount increased from 20 million to 24.2 million, specifically for the processing plant.
Land Ownership: Type of Land: The project site is located on a mix of federal (USFS), state and private land; a total of approximately 8,000 acres.
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance: Concern over impacts to tribal culture"
Big Sandy ,"Location: Additional Location Information: Northern Arizona on Interstate 93 (I-93) near small town of Wikieup, about halfway between Phoenix and Las Vegas.
Project Description: Status of Project: The developer experienced a setback in August 2024 when a federal judge ordered an injunction against exploratory drilling while the judge rules on the merits of a lawsuit by the Hualapai Tribe and the nonprofit environmental law organization Earthjustice.  The lawsuit challenged BLM's approval of the exploratory drilling, arguing that the project threatens Ha'Kamwe', a medicinal spring recognized as a traditional cultural property. It also asserted that drilling could impact aquifers, wildlife, and other vital resources in the area.
Project Description: Regulatory Challenges: Unpatented mining claims on the site of the project led to a dispute with another developer that took two years to be fully resolved; the developer was delayed in obtaining a third exploratory permit from BLM due to intense opposition from nearby tribes and others.   The request for the third exploratory program was filed on March 12, 2021.  The public comment period began in April 2021 and was extended twice.  The developer ultimately agreed to several changes to the exploration plan to secure BLM approval in June 2024. The first and second exploratory activities were in 2019, 16 holes covering 1.57 acres and then 37 holes covering 4.98 acres.  The third permit allows 131 holes covering 21 acres over an 18-month period. In late 2024, a federal court issued an injunction against BLM’s approval of exploration (third phase) on the grounds of inadequate consultation with tribal groups and threat to a historical and spiritual site.
Developer Description: Lead Developer: partnered with Navajo Transitional Energy Company- handling operations and permitting process
Commercial Plans: Processing Plan in US: Preliminary tests with contractors Hazen Research & KCA to determine feasibility. Using sulphuric acid to extract Li
Litigation: Evidence of Litigation: In August of 2024, a federal judge overturned the third exploratory drilling plan that was approved by the BLM earlier in June, even though plan was changed extensively to accommodate some tribal concerns. Litigants included EarthJustice and a local tribe. In November of 2024, the US District Court For the District of Arizona ordered that Arizona Lithium cannot continue any work that was previously authorized by BLM’s June 6th or 9th decision letters. The Hualapai Tribe’s request to extend the temporary restraining order into a preliminary injunction was also granted.
Concerned Interest Groups: Indigenous Groups: Nearby Native American Tribe- Hualapai Tribe.
Concerned Interest Groups: Scale of Environmental Groups: National -- Earthjustice; Regional -- Great Basin Resource Watch.
Concerned Interest Groups: Commercial Groups: Concerned farmers and ranchers.
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance:
The Hualapai Tribe expressed concerns of noise, vibrations and potential damage done to soil and plants. The development is near the Tribe's sacred hot spring. The Tribe has expressed concerns for the their local water sources and potential damage to the hot spring with the risk of puncturing aquifers. The concern for their land and hot spring had led to protests.
Reasons for Concern: Inadequate Community Engagement: Poor consultation with tribes. 
Supportive Interest Groups: Commercial Groups: Navajo Transitional Company"
Bingham Canyon (Kennecott),"Location: Additional Location Information: Located near town of Herriman (55,144, 2020), Salt Lake County, Utah. Eastern portion of the Oquirrh Mountains, approximately 16 miles south-west of the Salt Lake City, Utah, US.
Project Description: Existing Mine: One of the largest open-pit copper mines in the world; it began operations in 1906. Since acquiring the Kennecott operations in 1989, Rio Tinto has invested more than $5 billion towards modernisation, environmental upgrades and mine-life extension.
Project Description: Status of Project: Rio Tinto is expanding the underground portion of the mine with a $920 million investment. Copper production from the underground north rim skarn began in 2024; operations are planned to deliver around 250,000 tons of mined copper over the next 10 years, roughly 25% of US copper consumption.
Developer Description: Lead Developer: The company was first formed in 1898 as the Boston Consolidated Mining Company. The current corporation was formed in 1989.
Developer Description: Was There Change in Ownership during Project?: Rio Tinto acquired the Kennecott operations in 1989.
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: Virtually all processing is performed on site. Crushed ore is transported on a 5-mile conveyor and stockpiled at the Concentrator, where it is ground into fine particles. After treatment with air, water, and chemical reagents, the concentrate is transported to a smelter via pipeline.
Statements of Support from Public Officials: State: Both Utah Governor Spencer Cox and Lt. Governor Deidre Henderson have made public appearances at the site, touting the developer's modernization programs, including the transition to all-electric trucks.
Concerned Interest Groups: Community Residents/Groups: Save Our Canyons.
Reasons for Concern: Air Quality: Underground mines tend to be a significant source of dust emissions while the developer's nearby copper smelter is a significant source of air emissions in the county. Air quality improved after the developer installed better scrubbers on the smelter smokestack.
Reasons for Concern: Water Quality: The developer is well into more than a dozen expensive moving and construction projects to clean up and contain its hazardous wastes, and it is working on plans to deal with major long-term problems, such as groundwater contamination. Some activists fear that the shift to more underground operations could dry up or pollute nearby aquifers. 
Reasons for Support: Cleaner than Other Sources: The developer is switching from coal to renewable energy. Kennecott Utah Copper owned and operated a coal-fired power plant in Magna that earlier supplied electricity for the mine and processing operations. The power station was shut down in 2017 after being operated for 75 years. In May 2019, Rio Tinto announced that the operations will receive power through 1.5 million megawatt hours (MWh) of renewable energy certificates purchased from Rocky Mountain Power. It is expected to reduce the carbon footprint of the Kennecott operation by approximately 65%. "
